task_type,n_examples,ft_score_mean,rag_score_mean,ft_em_mean,rag_em_mean,ft_rouge_mean,rag_rouge_mean,winner
Extraccion,2,0.0,0.0,0.0,0.0,0.06905594405594406,0.015626490925630242,Empate
QA,8,0.21603542836996217,0.053199749884741826,0.0,0.0,0.15434771969810276,0.048304740048954055,Fine-Tuning
Resumen,2,0.14671541455360304,0.027115583075335396,,,0.14671541455360304,0.027115583075335396,Fine-Tuning
